Transaction ID,CPU Time,I/O on Disk,% Read Operations
1,2.1168,3,85
2,1.7566,3,89
3,2.0661,3,92
4,2.0887,3,1
5,2.3774,3,84
6,2.1716,3,10
7,2.1709,3,8
8,2.378,3,16
9,2.248,3,11
10,2.2674,3,10
11,2.1027,3,99
12,2.462,3,85
13,1.8601,3,11
14,1.9373,3,93
15,2.1759,3,91
16,1.8249,3,90
17,2.2548,3,9
18,2.1582,3,84
19,2.1494,3,95
20,2.1034,3,83
21,2.0742,3,11
22,1.97,3,87
23,2.0118,3,98
24,1.7142,3,12
25,2.0228,3,2
26,1.9976,3,86
27,2.0247,3,12
28,2.0414,3,13
29,2.3281,3,10
30,2.2247,3,14
31,2.0648,3,83
32,1.9147,3,100
33,1.9133,3,16
34,2.1155,3,88
35,1.9301,3,97
36,1.9009,3,86
37,2.1567,3,8
38,2.3131,3,91
39,2.2109,3,1
40,2.3156,3,11
41,1.9602,3,9
42,2.0225,3,9
43,2.2149,3,14
44,2.1323,3,94
45,1.8856,3,91
46,2.277,3,14
47,1.7509,3,13
48,1.8552,3,92
49,2.0175,3,15
50,2.1836,2,4
51,1.8069,3,18
52,1.9337,3,87
53,1.7373,3,16
54,2.1004,2,88
55,2.4862,3,81
56,1.9245,3,100
57,1.6531,3,84
58,1.9635,3,8
59,2.0547,3,9
60,1.9604,3,11
61,2.3665,3,8
62,2.0747,3,5
63,1.9995,3,4
64,2.2196,3,10
65,1.9054,3,95
66,1.9934,3,91
67,2.0723,3,7
68,2.2561,3,95
69,2.2571,3,92
70,2.1547,3,84
71,1.9121,3,94
72,2.0282,3,10
73,2.0563,3,79
74,1.8976,3,97
75,2.2046,3,16
76,2.0161,3,6
77,1.8389,3,15
78,1.8967,3,16
79,2.1481,3,92
80,2.0974,3,6
81,1.8338,3,88
82,1.4483,2,20
83,1.9021,3,83
84,2.487,3,97
85,2.0385,2,9
86,2.298,3,7
87,1.8836,3,5
88,2.3292,3,87
89,1.8404,3,6
90,2.0088,3,90
91,2.0126,3,87
92,2.1519,3,95
93,2.0433,3,12
94,2.1784,3,94
95,2.2152,3,15
96,1.6744,3,15
97,1.7811,3,13
98,2.1247,3,13
99,2.2862,3,5
100,2.2995,3,11
101,2.2143,3,96
102,1.8263,3,94
103,2.1491,3,1
104,2.1294,3,92
105,2.0955,3,86
106,2.2481,3,11
107,2.3852,3,11
108,1.9366,3,88
109,2.1908,3,1
110,1.7483,3,81
111,1.9933,3,85
112,2.069,3,17
113,1.7351,3,14
114,2.0097,3,89
115,2.0389,2,13
116,2.001,3,88
117,2.0026,3,8
118,2.1632,3,12
119,1.9123,3,7
120,1.996,3,12
121,2.2472,3,87
122,2.411,3,88
123,1.881,3,86
124,2.2094,3,10
125,2.0607,3,89
126,2.0302,3,97
127,2.104,3,12
128,2.1467,3,16
129,2.1398,3,76
130,2.2109,3,99
131,1.8828,2,4
132,2.0206,3,17
133,1.9142,2,16
134,1.9983,3,6
135,2.3563,3,6
136,1.8499,3,89
137,2.075,2,85
138,2.081,3,77
139,2.06,3,17
140,2.4186,3,90
141,2.5176,3,14
142,2.0803,3,6
143,1.8757,3,94
144,2.1034,3,2
145,2.0086,3,12
146,1.993,3,13
147,2.02,3,99
148,2.1822,3,11
149,2.0568,2,96
150,2.122,3,87
151,2.0027,3,90
152,2.3963,3,8
153,2.1137,3,89
154,2.2014,3,99
155,1.6139,3,100
156,2.236,3,91
157,2.2896,3,85
158,2.1242,3,3
159,1.8795,3,4
160,2.3289,3,11
161,2.3663,3,92
162,2.0911,3,14
163,2.0485,3,3
164,1.5822,3,88
165,2.3885,3,4
166,1.8973,3,81
167,2.221,3,82
168,1.8942,3,92
169,2.0371,3,93
170,2.1056,3,99
171,1.7418,3,81
172,2.3097,3,95
173,1.8057,3,88
174,2.1622,3,8
175,1.7939,3,6
176,2.0585,3,88
177,1.9056,3,89
178,1.7289,3,91
179,2.2618,3,10
180,2.2915,3,0
181,2.1491,3,16
182,2.1213,3,91
183,1.9246,3,80
184,1.9655,3,83
185,1.7855,3,94
186,1.9269,3,94
187,2.2253,3,94
188,1.7459,3,92
189,2.0852,3,2
190,1.8464,2,97
191,1.956,3,93
192,2.2906,3,86
193,2.0236,3,6
194,2.1747,3,87
195,2.2561,3,90
196,1.9986,3,6
197,2.271,3,5
198,1.7335,3,11
199,2.2226,2,1
200,1.7846,3,12
201,2.1434,3,93
202,1.987,3,17
203,1.9936,3,3
204,2.0435,3,9
205,1.8542,3,15
206,2.0458,3,88
207,1.9759,3,94
208,1.8429,3,6
209,2.1877,3,87
210,1.9886,3,17
211,2.1432,3,91
212,1.7626,2,90
213,2.015,3,88
214,2.2087,3,88
215,2.1538,3,82
216,1.97,3,11
217,1.9862,3,91
218,2.0875,3,7
219,2.0846,3,96
220,2.5812,3,19
221,2.1772,3,11
222,1.8244,3,89
223,1.7045,3,97
224,1.6372,3,7
225,2.3658,3,83
226,2.1383,3,4
227,2.2975,3,4
228,1.966,3,88
229,2.0018,3,12
230,1.6829,3,10
231,1.8529,3,87
232,1.9659,3,13
233,2.0423,3,85
234,2.3627,3,92
235,2.0823,3,6
236,1.8555,3,6
237,2.2261,3,7
238,1.9567,3,7
239,1.9304,3,91
240,1.6803,3,91
241,2.1706,2,90
242,2.2639,3,10
243,2.249,3,13
244,1.9963,3,6
245,2.0174,3,20
246,2.3917,3,11
247,1.8912,3,2
248,2.1408,2,95
249,2.3044,3,82
250,1.8622,3,91
251,2.1369,3,8
252,1.7817,3,8
253,1.7371,3,95
254,2.0541,3,85
255,2.5019,3,6
256,2.1373,3,88
257,1.7862,3,92
258,2.0896,3,96
259,2.1098,3,15
260,2.2567,3,88
261,2.3334,3,94
262,2.089,3,4
263,2.0485,3,94
264,1.7916,3,92
265,2.2969,3,95
266,2.0264,3,96
267,2.2373,3,5
268,1.6263,3,10
269,1.8881,3,87
270,2.3395,3,12
271,1.9734,3,93
272,2.3144,2,9
273,2.099,3,79
274,2.0395,3,93
275,1.9308,3,6
276,2.0932,3,96
277,1.9701,3,10
278,1.7838,3,9
279,1.9895,3,3
280,1.8212,3,87
281,2.3789,3,11
282,1.9306,3,12
283,2.4373,3,92
284,2.189,3,16
285,2.0638,2,6
286,2.2091,3,87
287,2.1368,3,18
288,2.1146,3,91
289,1.9237,3,6
290,2.1868,3,92
291,1.9567,3,15
292,2.3074,3,86
293,2.28,3,19
294,2.33,3,99
295,2.1406,3,81
296,2.2208,3,88
297,2.1411,3,90
298,2.1227,3,16
299,2.6231,3,15
300,2.0342,3,95
301,1.9853,3,15
302,2.0709,3,18
303,2.5974,3,9
304,1.7984,3,91
305,2.117,3,95
306,2.1652,3,87
307,2.2139,3,12
308,2.1794,3,14
309,2.0042,3,10
310,1.9319,3,100
311,1.8401,2,84
312,1.9756,3,82
313,2.2555,2,15
314,2.1306,3,96
315,2.1876,3,6
316,1.9181,3,90
317,2.1166,3,84
318,1.9797,3,88
319,1.7601,3,88
320,2.2198,3,3
321,2.154,3,4
322,2.5658,3,8
323,2.1853,3,6
324,2.0323,3,14
325,2.5105,3,10
326,2.1175,3,0
327,1.6191,3,94
328,1.9974,3,9
